[[ 0.]];4;1;9;2.0
[[ 0.62962963]];4;2;9;3.0
[[ 0.77777778]];4;2;9;4.0
[[ 0.]];4;1;9;1.66666666667
[[ 0.]];4;2;9;2.0
[[ 0.77777778]];4;2;9;4.0
[[ 0.]];4;1;9;2.0
[[ 0.77777778]];4;2;9;4.0
[[ 0.]];4;1;9;1.66666666667
[[ 0.55555556]];4;0;9;4.0
[[ 0.]];4;1;9;1.66666666667
[[ 0.2962963]];4;2;9;2.0
[[ 0.]];4;1;9;3.0
[[ 0.86666667]];4;2;10;4.0
[[ 0.83333333]];4;2;12;5.0
[[ 0.]];4;1;9;1.66666666667
[[ 0.]];4;2;9;2.0
[[ 0.77777778]];4;2;9;4.0
[[ 0.]];4;1;9;2.0
[[ 0.77777778]];4;2;9;4.0
[[ 0.]];4;1;9;1.66666666667
[[ 0.55555556]];4;0;9;4.0
[[ 0.]];4;1;9;1.66666666667
[[ 0.2962963]];4;2;9;2.0
[[ 0.]];4;1;9;3.0
[[ 0.]];4;2;10;4.0
[[ 0.]];4;2;12;5.0
[[ 0.]];4;1;9;2.0
[[ 0.]];4;2;9;3.0
[[ 0.]];4;2;9;4.0
[[ 0.]];4;1;9;2.0
[[ 0.]];4;2;9;4.0
[[ 0.]];4;0;9;4.0
[[ 0.]];4;1;9;1.66666666667
[[ 0.]];4;2;9;2.0
[[ 0.]];4;1;10;4.0
[[ 0.]];4;0;9;4.0
[[ 0.]];4;0;9;4.0
[[ 0.]];4;0;9;4.0
[[ 0.]];4;1;9;2.0
[[ 0.]];4;1;9;3.0
[[ 0.83333333]];4;2;12;5.0
[[ 0.]];4;1;9;2.0
[[ 0.77777778]];4;2;9;4.0
[[ 0.]];4;1;9;1.66666666667
[[ 0.77777778]];4;2;9;4.0
[[  1.33226763e-15]];4;2;9;4.0
[[ 0.]];4;1;9;1.66666666667
[[ 0.]];4;1;9;3.0
[[ 0.86666667]];4;2;10;4.0
[[ 0.]];4;1;9;2.0
[[ 0.62962963]];4;2;9;3.0
[[ 0.]];4;1;9;1.66666666667
[[ 0.]];4;2;9;2.0
[[ 0.]];4;1;9;2.0
[[ 0.]];4;1;9;1.66666666667
[[ 0.]];4;0;9;2.0
[[ 0.]];4;1;10;3.0
[[ 0.58333333]];4;2;12;4.0
[[ 0.]];4;0;10;1.66666666667
[[ 0.]];4;1;11;2.0
[[ 0.58333333]];4;2;12;4.0
[[ 0.]];4;1;10;2.0
[[ 0.58333333]];4;2;12;4.0
[[ 0.]];4;0;9;1.66666666667
[[ 0.]];4;0;9;1.66666666667
[[ 0.]];4;1;10;2.0
[[ 0.]];4;0;11;4.0
[[ 0.]];4;1;13;5.0
[[ 0.]];4;2;15;6.0
[[ 0.]];4;1;6;1.66666666667
[[ 0.44444444]];4;2;6;2.0
[[ 0.77777778]];4;2;6;4.0
[[ 0.]];4;1;6;2.0
[[ 0.77777778]];4;2;6;4.0
[[ 0.22222222]];4;1;6;1.66666666667
[[ 0.22222222]];4;0;6;1.66666666667
[[ 0.44444444]];4;1;6;2.0
[[ 0.]];4;0;11;4.0
[[ 0.]];4;1;13;5.0
[[ 0.]];4;2;15;6.0
[[ 0.]];4;1;6;2.0
[[ 0.]];4;2;6;3.0
[[ 0.]];4;2;8;4.0
[[ 0.]];4;1;6;2.0
[[ 0.77777778]];4;2;6;4.0
[[ 0.]];4;1;6;1.66666666667
[[ 0.]];4;0;6;1.66666666667
[[ 0.]];4;1;6;2.0
[[ 0.]];4;1;13;5.0
[[ 0.]];4;1;6;2.0
[[ 0.]];4;1;6;2.0
[[ 0.]];4;0;11;4.0
[[ 0.]];4;2;15;6.0
[[ 0.72222222]];4;1;6;2.0
[[ 0.77777778]];4;2;8;4.0
[[ 0.]];4;1;6;1.66666666667
[[ 0.77777778]];4;2;6;4.0
[[ 0.77777778]];4;2;6;4.0
[[ 0.22222222]];4;0;6;1.66666666667
[[ 0.]];4;0;10;4.0
[[ 0.]];4;1;12;5.0
[[ 0.72222222]];4;0;7;2.0
[[ 0.80952381]];4;1;6;3.0
[[ 0.]];4;0;7;1.66666666667
[[ 0.44444444]];4;1;6;2.0
[[ 0.]];4;0;6;2.0
[[ 0.22222222]];4;0;7;1.66666666667
[[ 0.]];4;1;10;3.0
[[ 0.]];4;2;11;4.0
[[ 0.]];4;2;12;5.0
[[ 0.]];4;1;10;1.66666666667
[[ 0.]];4;2;11;2.0
[[ 0.]];4;2;12;4.0
[[ 0.]];4;1;11;2.0
[[ 0.]];4;2;12;4.0
[[ 0.]];4;1;9;1.66666666667
